V_DS,R_Top_Lc50_L50,R_Edge_L50,R_Top_Lc10_L50
0.02,8.387836354074857,6.6588956561876085,8.387852536828815
0.04,6.1549173643918795,4.9419762550769075,6.155411387177927
0.06,4.554765718684582,3.7010373598104094,4.555419383119977
0.08,3.4491436741831825,2.836154985943465,3.44977035947004
0.1,2.7015708002301566,2.2469644399495756,2.7021005238443636
0.12000000000000001,2.199681906979058,1.8491444583290904,2.2001081510607614
0.14,1.8608743464308497,1.579563698038997,1.8612132767986171
0.16,1.62860358689621,1.3943653373656348,1.6288747599453484
0.18,1.465779476748081,1.2644561821304485,1.4659994370627634
0.19999999999999998,1.348605772971775,1.1710142226142153,1.3487870043384764
0.21999999999999997,1.2619246214844793,1.1019778011473467,1.2620761635436135
0.23999999999999996,1.196044667377216,1.0496030912553194,1.1961730071320473
0.25999999999999995,1.1446975893675562,1.008868095004345,1.1448074159386608
0.27999999999999997,1.1037596739502427,0.9764641392650738,1.1038544305298832
0.3,1.070462122063641,0.9501684386309345,1.0705443873771285
0.32,1.0429040572600756,0.9284551783423755,1.0429758038304306
0.34,1.0197503962341108,0.9102533662019159,1.0198131647670106
0.36000000000000004,1.0000422592937008,0.894794521525072,1.000097277268064
0.38000000000000006,0.9830761855965341,0.8815155023609973,0.9831244489414207
0.4000000000000001,0.9683258159265983,0.8699954562976354,0.9683681461634678
0.4200000000000001,0.955390135609598,0.8599141497650173,0.9554272205169736
0.4400000000000001,0.9439585924102982,0.8510238933043625,0.9439910154687546
0.46000000000000013,0.9337871237504984,0.8431302595785621,0.9338153858288584
0.48000000000000015,0.9246813662207978,0.8360785896564589,0.9247059018095637
0.5000000000000001,0.9164846816693691,0.8297443793256046,0.9165058712198176
