Geometry,L_c (cm),Work Function (eV),R_total (Ohm*cm)
top,1e-06,4.33,4231330341.202706
top,2e-06,4.33,4214382632.1222296
top,3e-06,4.33,4203251142.9963236
top,5e-06,4.33,4172034833.6228814
top,1e-06,4.8,2171.577434255881
top,2e-06,4.8,2149.8760258374664
top,3e-06,4.8,2134.668908811266
top,5e-06,4.8,2089.5811321953297
top,1e-06,5.0,1.7777432957557193
top,2e-06,5.0,1.751378259019696
top,3e-06,5.0,1.731067793047878
top,5e-06,5.0,1.670839306594337
top,1e-06,5.2,0.27227450849876644
top,2e-06,5.2,0.2633446551507833
top,3e-06,5.2,0.25671467835294326
top,5e-06,5.2,0.23391426225950954
edge,N/A,4.33,4055907598.2261395
edge,N/A,4.8,1949.702161455516
edge,N/A,5.0,1.5041663861397117
edge,N/A,5.2,0.19541454495110366
